,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Scenes,Most,Least,,,,,,,,,,,,,,,,,,,,,,,,,
1,"dishwasher, dish washer, dishwashing machine",thimble,,,,,,,,,,,,,,,,,,,,,,,,,
2,broccoli,thimble,,,,,,,,,,,,,,,,,,,,,,,,,
3,"caldron, cauldron","lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",,,,,,,,,,,,,,,,,,,,,,,,,
4,plate rack,"bookshop, bookstore, bookstall",,,,,,,,,,,,,,,,,,,,,,,,,
5,soup bowl,"stinkhorn, carrion fungus","['spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish', 'brassiere, bra, bandeau']",,,,,,,,,,,,,,,,,,,,,,,,
6,pole,"stinkhorn, carrion fungus","['agama', 'pot, flowerpot']","['chest', 'pot, flowerpot']",,,,,,,,,,,,,,,,,,,,,,,
7,bath towel,stage,"['bath towel', 'carbonara']",,,,,,,,,,,,,,,,,,,,,,,,
8,pickelhaube,crate,,,,,,,,,,,,,,,,,,,,,,,,,
9,Irish terrier,"cicada, cicala",,,,,,,,,,,,,,,,,,,,,,,,,
10,"Arabian camel, dromedary, Camelus dromedarius","cicada, cicala",,,,,,,,,,,,,,,,,,,,,,,,,
11,mosque,"ground beetle, carabid beetle",,,,,,,,,,,,,,,,,,,,,,,,,
12,"electric ray, crampfish, numbfish, torpedo","grand piano, grand",,,,,,,,,,,,,,,,,,,,,,,,,
13,chest,thimble,"['chest', 'lotion']",,,,,,,,,,,,,,,,,,,,,,,,
14,"American alligator, Alligator mississipiensis",Border collie,,,,,,,,,,,,,,,,,,,,,,,,,
15,pickelhaube,"grasshopper, hopper",,,,,,,,,,,,,,,,,,,,,,,,,
16,crate,espresso maker,,,,,,,,,,,,,,,,,,,,,,,,,
17,shower curtain,"pitcher, ewer","['spoonbill', 'loggerhead, loggerhead turtle, Caretta caretta']","['knot', ""loupe, jeweler's loupe""]","['hummingbird', ""loupe, jeweler's loupe""]",,,,,,,,,,,,,,,,,,,,,,
18,"racket, racquet","ground beetle, carabid beetle","['wig', 'weasel']","['albatross, mollymawk', 'oxygen mask']",,,,,,,,,,,,,,,,,,,,,,,
19,pickelhaube,whistle,,,,,,,,,,,,,,,,,,,,,,,,,
