start,end,duration,food_focus_existing,youtuber_existing,place,description,
0,6,7,0,1,0,"youtuber, street, store, motorbike",
7,8,2,0,1,0,"youtuber, street, store, motorbike",
8,12,5,0,1,0,"youtuber, street, store, motorbike",
13,22,10,1,1,0,just close up scene to food ,
23,25,3,1,1,1,"youtuber holding the food bowl, inside eating place ",
26,27,2,1,1,1,,
28,30,3,1,0,0,close up shot of food making,
30,32,3,1,0,0,close up shot of food making,
33,34,2,1,0,0,close up shot of food making,
35,94,60,1,1,1,"youtuber holding the food bowl, inside eating place ",
95,115,21,1,1,1,"youtuber in the center, the food bowl, inside the house, furniture",
116,119,4,1,0,1,close up shot of food making ,
120,120,1,1,0,0,"youtuber in the center, the food bowl, inside the house, furniture",
121,205,85,1,1,1,"youtuber in the center, the food bowl, inside the house, furniture",
206,272,67,1,1,1,"youtuber in the center, the food in the center, indoor ",
273,317,45,1,0,0,close up shot of food making ,
318,463,146,1,1,1,"youtuber in the center, the food in the center, indoor, nature in the neighboring area",
464,516,53,1,1,1,"the youtuber, food bowl, eating area, other person sitting around, door, indoor atmostphere",
517,539,23,1,0,1,close up shot of food making ,
540,552,13,1,1,1,"the youtuber, food bowl, eating area, other person sitting around, door, indoor atmostphere",
553,580,28,1,1,1,"the youtuber, food bowl, eating area, other person sitting around, door, indoor atmostphere",
581,615,35,1,0,0,close up shot of food making ,
616,665,50,1,1,1,"the youtuber and her sister are having the dessert together, indoor background",
666,674,9,1,1,1,"the youtuber is introducing the food, people sitting around, eating area at the restaurant",
675,684,10,1,0,0,close up shot of food making ,
685,688,4,1,0,0,close up shot of food making ,
689,732,44,1,1,1,"the youtuber is having the food, people sitting around, eating area at the restaurant, the table full of food",
733,770,38,1,1,1,"the youtuber in the center, having the food, people sitting around, drink, chair, tree",
771,786,16,1,0,0,close up shot of food making,
787,792,6,1,0,0,close up shot of food ,
793,813,21,1,1,1,"the youtuber in the center, having the food, people sitting around, drink, chair, tree",
814,856,43,0,1,0,"the youtuber moving with her camera, airport, people moving", 
857,857,1,0,0,0,"youtuber's name, black background",
